reuse,sample,milliseconds,cache_hit
false,0,463.4486999999999,false
false,1,180.57849999999996,false
false,2,121.16560000000004,false
false,3,132.15059999999994,false
false,4,110.45859999999993,false
false,5,115.13250000000016,false
false,6,122.39499999999998,false
false,7,126.6273000000001,false
false,8,120.62329999999997,false
false,9,78.83860000000004,false
false,10,80.70710000000008,false
false,11,80.97779999999989,false
false,12,78.27480000000014,false
false,13,70.74489999999992,false
false,14,68.97180000000026,false
true,0,148.51400000000012,false
true,1,13.22709999999961,true
true,2,5.507000000000062,true
true,3,11.530999999999949,true
true,4,5.294699999999921,true
true,5,10.160300000000007,true
true,6,5.005400000000009,true
true,7,4.4705000000003565,true
true,8,7.61160000000018,true
true,9,3.3760999999999513,true
true,10,3.4054000000000997,true
true,11,4.822599999999966,true
true,12,5.0844999999999345,true
true,13,4.654599999999846,true
true,14,3.6206999999999425,true
